Attributes,Volume,Volume,Volume,Adj Close,Adj Close,Adj Close
Symbols,GSK,PFE,AZN,GSK,PFE,AZN
Date,,,,,,
6/3/2019,2122300,21483000,2409300,36.79356384,39.92597198,36.47098541
6/4/2019,2009400,17508100,3415300,36.65219116,40.22122574,37.13497162
6/5/2019,2087100,20321500,2097300,36.44484329,40.45933151,36.9136467
6/6/2019,2805900,23239300,2259500,36.73701477,40.6783905,37.36592484
6/7/2019,3377300,18997600,2070900,37.50982666,40.87840271,37.54875946
6/10/2019,2370600,14493100,2928900,37.811409,41.02126312,38.09726715
6/11/2019,1529600,17849300,2378100,37.62292099,40.64029312,37.90480423
6/12/2019,2997900,15461900,2507300,37.98106003,41.03079605,38.42444611
6/13/2019,1705600,13723000,2020000,37.82084274,40.4783783,38.40519714
6/14/2019,1836600,12521700,1477800,37.811409,40.72601318,38.17424774
6/17/2019,1367000,13372800,1864200,37.63234711,40.84030151,38.47255707
6/18/2019,1764500,21663600,3258500,37.90566254,41.02126312,39.40598679
